iter	Passed	Remaining
0	151	151775
1	156	77936
2	160	53228
3	164	40911
4	168	33514
5	172	28576
6	176	25004
7	180	22365
8	185	20384
9	188	18708
10	192	17336
11	197	16250
12	202	15341
13	205	14448
14	208	13720
15	211	13016
16	215	12441
17	218	11902
18	220	11383
19	223	10965
20	226	10580
21	230	10232
22	233	9924
23	236	9614
24	240	9366
25	242	9086
26	244	8820
27	248	8617
28	250	8390
29	252	8171
30	256	8004
31	258	7820
32	260	7647
33	263	7497
34	266	7337
35	268	7184
36	272	7092
37	275	6962
38	278	6852
39	280	6731
40	283	6632
41	287	6556
42	292	6506
43	296	6445
44	301	6402
45	306	6347
46	310	6294
47	318	6324
48	323	6275
49	327	6217
50	330	6152
51	335	6116
52	340	6076
53	343	6012
54	347	5964
55	350	5911
56	353	5848
57	357	5801
58	359	5739
59	363	5695
60	366	5644
61	370	5612
62	375	5585
63	380	5565
64	384	5524
65	388	5497
66	391	5453
67	396	5432
68	399	5393
69	403	5359
70	405	5307
71	407	5255
72	410	5218
73	413	5178
74	416	5131
75	419	5095
76	421	5052
77	423	5008
78	426	4975
79	430	4951
80	434	4929
81	438	4911
82	442	4893
83	446	4869
84	450	4845
85	453	4816
86	457	4797
87	460	4776
88	464	4757
89	468	4737
90	470	4703
91	474	4680
92	476	4649
93	479	4617
94	482	4598
95	485	4571
96	488	4548
97	492	4531
98	494	4504
99	498	4489
100	501	4464
101	505	4449
102	508	4431
103	512	4413
104	515	4391
105	517	4363
106	519	4337
107	523	4319
108	525	4294
109	527	4270
110	530	4249
111	532	4224
112	536	4207
113	539	4191
114	541	4166
115	544	4146
116	547	4130
117	550	4117
118	554	4105
119	556	4082
120	559	4060
121	562	4045
122	565	4030
123	568	4016
124	571	3997
125	573	3976
126	576	3961
127	578	3943
128	581	3924
129	583	3906
130	586	3891
131	588	3872
132	592	3861
133	595	3845
134	597	3826
135	600	3812
136	602	3798
137	605	3780
138	608	3766
139	610	3749
140	612	3732
141	615	3717
142	618	3705
143	620	3688
144	623	3673
145	625	3660
146	627	3643
147	630	3628
148	633	3620
149	636	3604
150	638	3588
151	641	3577
152	643	3562
153	645	3546
154	649	3538
155	651	3525
156	653	3510
157	657	3502
158	659	3489
159	661	3474
160	665	3466
161	667	3452
162	669	3438
163	673	3433
164	675	3420
165	678	3406
166	681	3398
167	683	3385
168	685	3372
169	689	3365
170	692	3356
